,total,Taxonomy
Zotu1104,241,Bacteria(99.99999999999999);Proteobacteria(99.99999999999999);Gammaproteobacteria(99.99999999999999);Burkholderiales(99.99999999999999);Neisseriaceae(99.99999999999999);Kingella(97.44420625488854);uncultured bacterium(94.8884125097771)
Zotu1105,150,Bacteria(100.0);Actinobacteriota(100.0);Actinobacteria(100.0);Actinomycetales(100.0);Actinomycetaceae(100.0);Actinomyces(100.0);uncultured bacterium(87.95)
Zotu1106,194,Bacteria(100.0);Bacteroidota(100.0);Bacteroidia(100.0);Bacteroidales(100.0);Prevotellaceae(100.0);Prevotella(100.0);Prevotella corporis(73.33333333333333)
Zotu1109,187,Bacteria(99.99999999999997);Planctomycetota(99.99999999999997);Planctomycetes(99.99999999999997);Pirellulales(99.99999999999997);Pirellulaceae(99.99999999999997);Blastopirellula(99.99999999999997);uncultured planctomycete(63.666666666666664)
Zotu111,3485,Bacteria(99.99999999999999);Proteobacteria(99.99999999999999);Gammaproteobacteria(99.99999999999999);Oceanospirillales(99.99999999999999);Halomonadaceae(99.99999999999999);Halomonas(99.99999999999999);Halomonas aquamarina(21.212427789213883)
Zotu1112,114,Bacteria(99.99999999999999);Bacteroidota(99.99999999999999);Bacteroidia(99.99999999999999);Bacteroidales(99.99999999999999);Prevotellaceae(99.99999999999999);Prevotella(99.99999999999999);uncultured bacterium(45.48003629009821)
Zotu1113,197,Bacteria(100.0);Bacteroidota(100.0);Bacteroidia(100.0);Bacteroidales(100.0);Prevotellaceae(100.0);Prevotella(100.0);Prevotella buccalis(82.48333333333335)
Zotu1114,164,Bacteria(100.00000000000001);Actinobacteriota(100.00000000000001);Actinobacteria(100.00000000000001);Micrococcales(100.00000000000001);Micrococcaceae(100.00000000000001);Micrococcus(100.00000000000001);Micrococcus luteus(28.000000000000004)
Zotu1115,191,Bacteria(100.00000000000001);Actinobacteriota(100.00000000000001);Actinobacteria(100.00000000000001);Propionibacteriales(100.00000000000001);Propionibacteriaceae(100.00000000000001);Cutibacterium(100.00000000000001);Cutibacterium avidum 44067(45.15119047619049)
Zotu1116,4472,Bacteria(100.0);Firmicutes(100.0);Bacilli(100.0);Staphylococcales(100.0);Staphylococcaceae(100.0);Staphylococcus(100.0);uncultured bacterium(100.0)
